,condition,correct,correct_response,exp_stage,key_press,possible_responses,rt,stim_color,stim_word,trial_type,worker_id
stroop_17_73,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",725,blue,green,poldrack-categorize,s049
stroop_17_75,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",927,green,green,poldrack-categorize,s049
stroop_17_77,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",769,red,red,poldrack-categorize,s049
stroop_17_79,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",523,green,blue,poldrack-categorize,s049
stroop_17_81,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",733,red,red,poldrack-categorize,s049
stroop_17_83,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",583,red,red,poldrack-categorize,s049
stroop_17_85,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",641,blue,red,poldrack-categorize,s049
stroop_17_87,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",426,green,blue,poldrack-categorize,s049
stroop_17_89,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",548,red,blue,poldrack-categorize,s049
stroop_17_91,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",407,green,green,poldrack-categorize,s049
stroop_17_93,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",864,green,red,poldrack-categorize,s049
stroop_17_95,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",634,blue,red,poldrack-categorize,s049
stroop_17_97,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",683,green,red,poldrack-categorize,s049
stroop_17_99,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",589,red,red,poldrack-categorize,s049
stroop_17_101,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",799,blue,green,poldrack-categorize,s049
stroop_17_103,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",1034,red,blue,poldrack-categorize,s049
stroop_17_105,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",772,green,red,poldrack-categorize,s049
stroop_17_107,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",726,red,blue,poldrack-categorize,s049
stroop_17_109,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",815,red,blue,poldrack-categorize,s049
stroop_17_111,congruent,0.0,66.0,test,71.0,"[66, 71, 82]",882,blue,blue,poldrack-categorize,s049
stroop_17_113,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",619,blue,red,poldrack-categorize,s049
stroop_17_115,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",525,blue,blue,poldrack-categorize,s049
stroop_17_117,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",983,green,green,poldrack-categorize,s049
stroop_17_119,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",402,red,green,poldrack-categorize,s049
stroop_17_121,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",748,blue,green,poldrack-categorize,s049
stroop_17_123,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",654,red,red,poldrack-categorize,s049
stroop_17_125,congruent,0.0,71.0,test,66.0,"[66, 71, 82]",1152,green,green,poldrack-categorize,s049
stroop_17_127,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",617,green,red,poldrack-categorize,s049
stroop_17_129,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",810,blue,blue,poldrack-categorize,s049
stroop_17_131,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",651,red,green,poldrack-categorize,s049
stroop_17_133,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",764,blue,blue,poldrack-categorize,s049
stroop_17_135,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",1038,green,green,poldrack-categorize,s049
stroop_17_137,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",616,red,red,poldrack-categorize,s049
stroop_17_139,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",962,green,green,poldrack-categorize,s049
stroop_17_141,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",1117,green,blue,poldrack-categorize,s049
stroop_17_143,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",734,blue,red,poldrack-categorize,s049
stroop_17_145,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",774,green,green,poldrack-categorize,s049
stroop_17_147,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",928,blue,red,poldrack-categorize,s049
stroop_17_149,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",1098,blue,blue,poldrack-categorize,s049
stroop_17_151,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",900,blue,blue,poldrack-categorize,s049
stroop_17_153,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",718,blue,blue,poldrack-categorize,s049
stroop_17_155,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",688,green,green,poldrack-categorize,s049
stroop_17_157,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",731,red,red,poldrack-categorize,s049
stroop_17_159,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",780,red,blue,poldrack-categorize,s049
stroop_17_161,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",758,red,red,poldrack-categorize,s049
stroop_17_163,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",623,red,green,poldrack-categorize,s049
stroop_17_165,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",610,red,green,poldrack-categorize,s049
stroop_17_167,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",955,green,green,poldrack-categorize,s049
stroop_17_169,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",844,red,red,poldrack-categorize,s049
stroop_17_171,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",974,blue,red,poldrack-categorize,s049
stroop_17_173,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",1207,red,green,poldrack-categorize,s049
stroop_17_175,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",593,blue,green,poldrack-categorize,s049
stroop_17_177,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",619,blue,red,poldrack-categorize,s049
stroop_17_179,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",861,green,green,poldrack-categorize,s049
stroop_17_181,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",943,red,red,poldrack-categorize,s049
stroop_17_183,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",521,blue,blue,poldrack-categorize,s049
stroop_17_185,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",715,red,blue,poldrack-categorize,s049
stroop_17_187,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",918,green,red,poldrack-categorize,s049
stroop_17_189,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",569,green,green,poldrack-categorize,s049
stroop_17_191,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",579,red,red,poldrack-categorize,s049
stroop_17_193,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",1157,blue,green,poldrack-categorize,s049
stroop_17_195,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",966,green,blue,poldrack-categorize,s049
stroop_17_197,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",544,green,green,poldrack-categorize,s049
stroop_17_199,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",602,green,blue,poldrack-categorize,s049
stroop_17_201,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",460,blue,blue,poldrack-categorize,s049
stroop_17_203,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",734,green,red,poldrack-categorize,s049
stroop_17_205,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",712,green,red,poldrack-categorize,s049
stroop_17_207,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",619,red,red,poldrack-categorize,s049
stroop_17_209,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",516,green,green,poldrack-categorize,s049
stroop_17_211,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",583,green,blue,poldrack-categorize,s049
stroop_17_213,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",760,blue,blue,poldrack-categorize,s049
stroop_17_215,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",722,green,green,poldrack-categorize,s049
stroop_17_217,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",572,green,green,poldrack-categorize,s049
stroop_17_219,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",567,red,red,poldrack-categorize,s049
stroop_17_221,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",537,red,red,poldrack-categorize,s049
stroop_17_223,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",691,green,blue,poldrack-categorize,s049
stroop_17_225,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",565,red,red,poldrack-categorize,s049
stroop_17_227,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",895,red,blue,poldrack-categorize,s049
stroop_17_229,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",553,blue,green,poldrack-categorize,s049
stroop_17_231,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",588,blue,green,poldrack-categorize,s049
stroop_17_233,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",709,red,green,poldrack-categorize,s049
stroop_17_235,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",688,blue,blue,poldrack-categorize,s049
stroop_17_237,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",513,blue,blue,poldrack-categorize,s049
stroop_17_239,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",451,blue,blue,poldrack-categorize,s049
stroop_17_241,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",453,blue,blue,poldrack-categorize,s049
stroop_17_243,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",688,red,blue,poldrack-categorize,s049
stroop_18_4,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",455,green,green,poldrack-categorize,s050
stroop_18_6,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",581,blue,blue,poldrack-categorize,s050
stroop_18_8,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",622,green,green,poldrack-categorize,s050
stroop_18_10,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",502,green,red,poldrack-categorize,s050
stroop_18_12,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",835,red,red,poldrack-categorize,s050
stroop_18_14,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",616,green,red,poldrack-categorize,s050
stroop_18_16,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",596,red,red,poldrack-categorize,s050
stroop_18_18,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",696,green,green,poldrack-categorize,s050
stroop_18_20,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",722,blue,green,poldrack-categorize,s050
stroop_18_22,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",683,red,blue,poldrack-categorize,s050
stroop_18_24,congruent,0.0,66.0,practice,71.0,"[66, 71, 82]",515,blue,blue,poldrack-categorize,s050
stroop_18_26,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",530,blue,red,poldrack-categorize,s050
stroop_18_28,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",438,blue,green,poldrack-categorize,s050
stroop_18_30,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",434,blue,blue,poldrack-categorize,s050
stroop_18_32,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",610,red,red,poldrack-categorize,s050
stroop_18_34,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",532,red,green,poldrack-categorize,s050
stroop_18_36,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",837,green,blue,poldrack-categorize,s050
stroop_18_38,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",613,blue,blue,poldrack-categorize,s050
stroop_18_40,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",519,blue,red,poldrack-categorize,s050
stroop_18_42,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",564,red,red,poldrack-categorize,s050
stroop_18_44,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",580,green,green,poldrack-categorize,s050
stroop_18_46,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",493,green,blue,poldrack-categorize,s050
stroop_18_48,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",818,red,blue,poldrack-categorize,s050
stroop_18_50,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",646,red,green,poldrack-categorize,s050
stroop_18_53,incongruent,0.0,66.0,test,71.0,"[66, 71, 82]",854,blue,red,poldrack-categorize,s050
stroop_18_55,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",400,red,red,poldrack-categorize,s050
stroop_18_57,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",738,green,red,poldrack-categorize,s050
stroop_18_59,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",529,green,green,poldrack-categorize,s050
stroop_18_61,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",674,red,blue,poldrack-categorize,s050
stroop_18_63,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",569,green,green,poldrack-categorize,s050
stroop_18_65,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",515,red,red,poldrack-categorize,s050
stroop_18_67,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",887,blue,red,poldrack-categorize,s050
stroop_18_69,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",561,green,green,poldrack-categorize,s050
stroop_18_71,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",814,blue,green,poldrack-categorize,s050
stroop_18_73,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",572,green,green,poldrack-categorize,s050
stroop_18_75,incongruent,0.0,71.0,test,66.0,"[66, 71, 82]",663,green,blue,poldrack-categorize,s050
stroop_18_77,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",857,green,green,poldrack-categorize,s050
stroop_18_79,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",541,blue,blue,poldrack-categorize,s050
stroop_18_81,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",787,red,green,poldrack-categorize,s050
stroop_18_83,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",779,blue,red,poldrack-categorize,s050
stroop_18_85,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",749,blue,green,poldrack-categorize,s050
stroop_18_87,incongruent,0.0,82.0,test,71.0,"[66, 71, 82]",624,red,green,poldrack-categorize,s050
stroop_18_89,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",705,blue,blue,poldrack-categorize,s050
stroop_18_91,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",883,red,green,poldrack-categorize,s050
stroop_18_93,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",692,green,blue,poldrack-categorize,s050
stroop_18_95,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",514,blue,blue,poldrack-categorize,s050
stroop_18_97,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",946,green,red,poldrack-categorize,s050
stroop_18_99,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",556,green,green,poldrack-categorize,s050
stroop_18_101,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",397,green,red,poldrack-categorize,s050
stroop_18_103,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",556,red,blue,poldrack-categorize,s050
stroop_18_105,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",531,green,green,poldrack-categorize,s050
stroop_18_107,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",561,blue,blue,poldrack-categorize,s050
stroop_18_109,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",554,red,red,poldrack-categorize,s050
stroop_18_111,incongruent,0.0,82.0,test,71.0,"[66, 71, 82]",593,red,green,poldrack-categorize,s050
stroop_18_113,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",655,blue,blue,poldrack-categorize,s050
stroop_18_115,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",612,green,blue,poldrack-categorize,s050
stroop_18_117,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",746,blue,green,poldrack-categorize,s050
stroop_18_119,incongruent,0.0,71.0,test,82.0,"[66, 71, 82]",1044,green,red,poldrack-categorize,s050
stroop_18_121,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",638,green,blue,poldrack-categorize,s050
stroop_18_123,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",543,blue,blue,poldrack-categorize,s050
stroop_18_125,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",480,green,green,poldrack-categorize,s050
stroop_18_127,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",740,red,blue,poldrack-categorize,s050
stroop_18_129,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",857,blue,blue,poldrack-categorize,s050
stroop_18_131,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",545,green,green,poldrack-categorize,s050
stroop_18_133,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",612,blue,blue,poldrack-categorize,s050
stroop_18_135,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",559,red,red,poldrack-categorize,s050
stroop_18_137,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",1091,blue,red,poldrack-categorize,s050
stroop_18_139,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",953,green,green,poldrack-categorize,s050
stroop_18_141,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",750,red,blue,poldrack-categorize,s050
stroop_18_143,congruent,0.0,71.0,test,66.0,"[66, 71, 82]",601,green,green,poldrack-categorize,s050
stroop_18_145,congruent,0.0,82.0,test,71.0,"[66, 71, 82]",598,red,red,poldrack-categorize,s050
stroop_18_147,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",966,blue,green,poldrack-categorize,s050
stroop_18_149,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",539,blue,blue,poldrack-categorize,s050
stroop_18_151,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",732,green,green,poldrack-categorize,s050
stroop_18_153,incongruent,0.0,71.0,test,82.0,"[66, 71, 82]",910,green,blue,poldrack-categorize,s050
stroop_18_155,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",638,blue,blue,poldrack-categorize,s050
stroop_18_157,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",496,blue,blue,poldrack-categorize,s050
stroop_18_159,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",681,red,red,poldrack-categorize,s050
stroop_18_161,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",691,red,green,poldrack-categorize,s050
stroop_18_163,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",469,red,blue,poldrack-categorize,s050
stroop_18_165,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",508,red,green,poldrack-categorize,s050
stroop_18_167,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",1100,green,red,poldrack-categorize,s050
stroop_18_169,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",752,green,blue,poldrack-categorize,s050
stroop_18_171,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",964,blue,green,poldrack-categorize,s050
stroop_18_173,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",475,green,green,poldrack-categorize,s050
stroop_18_175,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",678,blue,green,poldrack-categorize,s050
stroop_18_177,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",792,green,red,poldrack-categorize,s050
stroop_18_179,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",592,blue,blue,poldrack-categorize,s050
stroop_18_181,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",679,red,red,poldrack-categorize,s050
stroop_18_183,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",775,blue,red,poldrack-categorize,s050
stroop_18_185,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",948,red,green,poldrack-categorize,s050
stroop_18_187,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",798,green,blue,poldrack-categorize,s050
stroop_18_189,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",1334,blue,green,poldrack-categorize,s050
stroop_18_191,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",567,blue,green,poldrack-categorize,s050
stroop_18_193,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",654,green,green,poldrack-categorize,s050
stroop_18_195,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",560,green,blue,poldrack-categorize,s050
stroop_18_197,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",533,blue,blue,poldrack-categorize,s050
stroop_18_199,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",746,blue,red,poldrack-categorize,s050
stroop_18_201,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",817,red,blue,poldrack-categorize,s050
stroop_18_203,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",851,red,green,poldrack-categorize,s050
stroop_18_205,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",669,red,red,poldrack-categorize,s050
stroop_18_207,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",569,red,red,poldrack-categorize,s050
stroop_18_209,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",504,red,blue,poldrack-categorize,s050
stroop_18_211,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",439,red,red,poldrack-categorize,s050
stroop_18_213,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",479,red,red,poldrack-categorize,s050
stroop_18_215,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",582,blue,blue,poldrack-categorize,s050
stroop_18_217,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",815,blue,red,poldrack-categorize,s050
stroop_18_219,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",1001,green,red,poldrack-categorize,s050
stroop_18_221,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",477,green,green,poldrack-categorize,s050
stroop_18_223,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",564,blue,blue,poldrack-categorize,s050
stroop_18_225,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",639,red,red,poldrack-categorize,s050
stroop_18_227,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",607,blue,blue,poldrack-categorize,s050
stroop_18_229,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",629,blue,red,poldrack-categorize,s050
stroop_18_231,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",598,red,red,poldrack-categorize,s050
stroop_18_233,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",682,green,red,poldrack-categorize,s050
stroop_18_235,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",581,red,red,poldrack-categorize,s050
stroop_18_237,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",546,red,red,poldrack-categorize,s050
stroop_18_239,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",615,red,blue,poldrack-categorize,s050
stroop_18_241,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",472,red,red,poldrack-categorize,s050
stroop_18_243,congruent,0.0,71.0,test,-1.0,"[66, 71, 82]",-1,green,green,poldrack-categorize,s050
stroop_19_4,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",1024,red,red,poldrack-categorize,s056
stroop_19_6,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",957,blue,blue,poldrack-categorize,s056
stroop_19_8,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",626,green,blue,poldrack-categorize,s056
stroop_19_10,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",857,red,blue,poldrack-categorize,s056
stroop_19_12,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",711,blue,blue,poldrack-categorize,s056
stroop_19_14,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",570,green,green,poldrack-categorize,s056
stroop_19_16,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",627,green,green,poldrack-categorize,s056
stroop_19_18,incongruent,0.0,66.0,practice,82.0,"[66, 71, 82]",1096,blue,green,poldrack-categorize,s056
stroop_19_20,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",1272,blue,red,poldrack-categorize,s056
stroop_19_22,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",866,red,green,poldrack-categorize,s056
stroop_19_24,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",616,red,red,poldrack-categorize,s056
stroop_19_26,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",832,red,blue,poldrack-categorize,s056
stroop_19_28,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",648,green,green,poldrack-categorize,s056
stroop_19_30,incongruent,1.0,82.0,practice,82.0,"[66, 71, 82]",763,red,green,poldrack-categorize,s056
stroop_19_32,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",900,blue,blue,poldrack-categorize,s056
stroop_19_34,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",529,red,red,poldrack-categorize,s056
stroop_19_36,incongruent,0.0,66.0,practice,82.0,"[66, 71, 82]",956,blue,green,poldrack-categorize,s056
stroop_19_38,congruent,1.0,71.0,practice,71.0,"[66, 71, 82]",617,green,green,poldrack-categorize,s056
stroop_19_40,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",1144,green,red,poldrack-categorize,s056
stroop_19_42,congruent,1.0,66.0,practice,66.0,"[66, 71, 82]",828,blue,blue,poldrack-categorize,s056
stroop_19_44,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",927,green,red,poldrack-categorize,s056
stroop_19_46,congruent,1.0,82.0,practice,82.0,"[66, 71, 82]",428,red,red,poldrack-categorize,s056
stroop_19_48,incongruent,1.0,66.0,practice,66.0,"[66, 71, 82]",1129,blue,red,poldrack-categorize,s056
stroop_19_50,incongruent,1.0,71.0,practice,71.0,"[66, 71, 82]",801,green,blue,poldrack-categorize,s056
stroop_19_53,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",812,green,green,poldrack-categorize,s056
stroop_19_55,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",544,green,green,poldrack-categorize,s056
stroop_19_57,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",674,green,green,poldrack-categorize,s056
stroop_19_59,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",723,red,red,poldrack-categorize,s056
stroop_19_61,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",1118,blue,red,poldrack-categorize,s056
stroop_19_63,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",579,green,red,poldrack-categorize,s056
stroop_19_65,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",796,blue,green,poldrack-categorize,s056
stroop_19_67,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",857,blue,blue,poldrack-categorize,s056
stroop_19_69,incongruent,1.0,71.0,test,71.0,"[66, 71, 82]",806,green,red,poldrack-categorize,s056
stroop_19_71,incongruent,1.0,66.0,test,66.0,"[66, 71, 82]",717,blue,red,poldrack-categorize,s056
stroop_19_73,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",557,green,green,poldrack-categorize,s056
stroop_19_75,congruent,1.0,71.0,test,71.0,"[66, 71, 82]",551,green,green,poldrack-categorize,s056
stroop_19_77,congruent,1.0,82.0,test,82.0,"[66, 71, 82]",737,red,red,poldrack-categorize,s056
stroop_19_79,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",652,blue,blue,poldrack-categorize,s056
stroop_19_81,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",432,blue,blue,poldrack-categorize,s056
stroop_19_83,congruent,1.0,66.0,test,66.0,"[66, 71, 82]",508,blue,blue,poldrack-categorize,s056
stroop_19_85,incongruent,1.0,82.0,test,82.0,"[66, 71, 82]",844,red,green,poldrack-categorize,s056
